#Proj,OrgCompany,Country,BinFormat=ip,db
17cy,here,arg,f18=192.168.10.18,ARG_HERE_2014Q4_0082_0009_104
17cy,here,bra,f18=192.168.10.10,BRA_HERE_2014Q4_0082_0013_104
17cy,navinfo,chn,f18=192.168.10.16,CHN_NAVINFO_2015Sum_0082_0004_104
17cy,navinfo,chn_dummy,f18=192.168.10.16,CHN_DUMMY_NAVINFO_2015Sum_0082_0003_104
17cy,here,hkgmac,f18=192.168.10.10,HKGMAC_HERE_2014Q4_0082_0012_104
17cy,mmi,ind,f18=192.168.10.16,IND_MMI_2014Q4_0082_0007_104
17cy,here,me8,f18=192.168.10.18,ME8_HERE_2014Q4_0082_0007_104
17cy,sensis,aus,f18=192.168.10.16,AUS_SENSIS_201503_0082_0011_104
17cy,tomtom,saf8,f18=192.168.10.18,SAF8_TOMTOM_201412_0082_0005_104
17cy,here,sea,f18=192.168.10.18,SEA_HERE_2015Q3_0082_0003_104
17cy,zenrin,twn,f18=192.168.10.10,TWN_ZENRIN_2015Q2_0082_0003_104
